Table,5.—Federal,revenues,received,by,local,education,agencies,for,public,elementary,and,secondary,education,by,program,and,state:
Table,5.—Fiscal,year,2013
[In,thousands,of,dollars]
Other,and,Other
unspecified,federal
federal,revenues
revenues,direct,to
Special,Math,and,Drug-free,Vocational,Child,Bilingual,through,school
1,2
State,Total,Title,Ieducation,science,schools,education,nutrition,education,state,Impact,aid,districts
Reporting
states3,$55104248,$14212798,$11248795,‡,‡,$554889,$14019749,‡,‡,$1521516,‡
Alabama,811965,258868,179262,$36409,$17835,11209,259914,$3567,‡,3429,$17122
Alaska,320938,45915,33653,11107,0,2903,39695,929,$19581,132748,34407
Arizona,1286773,358806,158961,39840,16326,18500,318468,18202,173812,162215,21643
Arkansas,579042,162963,109430,23021,0,8282,166380,2987,‡,466,37845
California,7836962,1926035,1856502,299877,9378,51744,1901099,159671,‡,113967,454901
Colorado,702555,167201,150185,25919,11,6586,181744,9763,‡,49015,55694
Connecticut,451094,108988,120954,21492,0,6825,107832,5777,38698,0,40528
Delaware,160590,42422,31362,0,72,3605,38119,0,45010,0,0
District,of
Columbia,197449,52675,16836,10843,502,2981,35649,744,38393,38735,91
Florida,3027018,831959,612542,62728,185,33906,844914,‡,‡,8882,‡
Georgia,1812816,536093,320411,68811,31395,16747,607210,13365,143066,21362,54356
Hawaii,310778,46636,38832,962,0,2225,43837,2569,—,80615,15706
Idaho,244367,57495,54078,12749,2914,2956,72946,1832,‡,5430,7058
Illinois,2311326,653880,577444,90946,98,29371,525342,30782,‡,35159,‡
Indiana,1045227,269984,265749,2547,516,7408,284330,‡,197154,5302,‡
459132,94476,120860,17649,2455,5583,116672,3429,79070,704,18234
Iowa
Kansas,420820,116339,0,0,7480,1783,134532,3838,133579,21076,2193
Kentucky,867735,246614,‡,‡,‡,‡,249997,‡,303914,‡,‡
Louisiana,1304360,336994,173410,50109,663,10021,259198,0,369438,9434,95093
Maine,197769,55034,48269,10479,1198,2015,46954,665,20851,2184,10120
Maryland,828432,193891,194734,32957,174,8636,199999,8552,125817,22119,41553
Massachusetts,855071,193305,258484,‡,‡,10532,179614,‡,‡,0,‡
Michigan,1786441,495685,405571,57849,581,21372,384343,4822,219049,19188,177981
Minnesota,685761,170109,174814,33832,7,6122,183076,0,66012,20528,31261
Mississippi,707522,199595,121675,‡,12,5902,219573,1637,‡,2162,‡
Missouri,926472,234363,181855,40230,‡,12067,256160,4986,148111,24781,23919
Montana,210593,55868,32987,7821,0,2708,32504,‡,‡,53199,11214
Nebraska,366241,90719,80090,12368,390,3024,76524,‡,‡,25060,27857
Nevada,392009,122587,71886,12638,155,5202,107101,7823,37216,3443,23958
New
Hampshire,163890,40229,34652,0,0,3771,28251,0,50456,0,6531
New,Jersey,1159632,295158,357482,‡,‡,8142,303236,‡,174840,20774,‡
New,Mexico,528189,133854,97717,17951,‡,8340,1818,3636,131292,69115,64466
New,York,3343721,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡
North,Carolina,1601680,421081,339045,57352,‡,‡,458390,12180,‡,16572,147886
North,Dakota,145905,41425,27852,8577,538,2366,20009,477,‡,22451,16495
Ohio,1292760,0,391458,0,545,34811,418726,76,310602,76,136466
Oklahoma,717483,180995,137854,31466,97,12785,212059,4808,‡,43892,40373
Oregon,565073,152964,129986,22587,71,6649,133425,6959,0,97000,15432
Pennsylvania,2169144,705953,435108,113621,31321,27497,427310,15174,‡,7224,‡
Rhode,Island,203828,51848,40133,10169,0,4600,37677,2448,51389,2364,3200
South,Carolina,824896,245250,165337,30294,0,12202,258792,4450,105775,2322,‡
South,Dakota,194731,47216,28721,11356,0,1322,27699,322,7027,57894,13174
Tennessee,1165801,306052,226939,—,6293,20331,346295,4635,—,6655,—
Texas,5897795,1470787,846602,178996,1282,53116,1782356,2143,‡,116270,442395
Utah,432584,67574,110575,19050,870,4970,124083,5427,65839,6083,‡
See,notes,at,end,of,table.
20
